ticker,mean_error,std_error,feature_importances,mean_r2,std_r2
HAL,0.0007280868646309143,0.0006285865486474761,"[0.06068382 0.10095634 0.09928608 0.09795073 0.1331249  0.09514519
 0.10091935 0.08489819 0.11169052 0.11534481 0.        ]",-0.9457675681393211,1.0768262352683313
HAL,0.0007280868646309143,0.0006285865486474761,"[0.06068382 0.10095634 0.09928608 0.09795073 0.1331249  0.09514519
 0.10091935 0.08489819 0.11169052 0.11534481 0.        ]",-0.9457675681393211,1.0768262352683313
HAL,0.0007280868646309143,0.0006285865486474761,"[0.06068382 0.10095634 0.09928608 0.09795073 0.1331249  0.09514519
 0.10091935 0.08489819 0.11169052 0.11534481]",-0.9457675681393211,1.0768262352683313
K,0.0001926100501429615,0.00025084852927778254,"[0.07770465 0.10641241 0.09809376 0.10639818 0.09586769 0.10484343
 0.09859479 0.10768145 0.0973125  0.10709113]",-1.8379685704462356,3.156360369741161
IRM,0.00035784532280418895,0.00026224396173286463,"[0.07301872 0.07182811 0.1070925  0.11120194 0.08784313 0.10048066
 0.11263841 0.10970903 0.11058421 0.11560328]",-2.449012229406509,7.8527346975815835
HES,0.0006176079784080227,0.00045138746307401883,"[0.08167545 0.07386225 0.1021063  0.09477437 0.11886421 0.11165386
 0.12452783 0.09909977 0.10318002 0.09025599]",-1.6321932172419904,3.047512594365248
KEY,0.0013285475029712846,0.0022076587279093556,"[0.07273384 0.07137372 0.13110782 0.12120964 0.10882425 0.09327934
 0.12069    0.10702095 0.09289253 0.08086793]",-0.9277418001515129,1.5692685327123437
DGX,0.00020960370413422013,0.00021434025622068384,"[0.06765551 0.09085321 0.10434795 0.10102489 0.10401296 0.13636383
 0.09793305 0.09006555 0.09658813 0.11115502]",-1.288940767396532,2.2423141385880845
TER,0.0006659094820074033,0.0006282043776803272,"[0.07620917 0.08747787 0.11798123 0.09555972 0.11442569 0.1038199
 0.09504286 0.09596089 0.09724103 0.11628166]",-0.9678536423203699,2.264226297000509
YUM,0.0001722577192872646,0.00012733494449995277,"[0.09324139 0.0691868  0.10284622 0.08249108 0.10520428 0.10130355
 0.07937025 0.08494759 0.17344058 0.10796827]",-1.066380979317548,1.0114028670240756
GRMN,0.0003211728881858192,0.0005625950106225023,"[0.06597385 0.07586093 0.11466889 0.08482464 0.10814383 0.0871787
 0.1178776  0.12503304 0.10364744 0.11679108]",-1.3399087708883517,1.626330042640273
ARE,0.0005721148350551407,0.0005896214340858129,"[0.07345518 0.0827888  0.09439024 0.12370921 0.14328624 0.11047121
 0.09886101 0.10284498 0.08258266 0.08761045]",-1.4682604283771377,5.201479411071012
BALL,0.0005233677176944365,0.0005700113737198188,"[0.06914446 0.10328057 0.09958613 0.10668995 0.11317853 0.10751984
 0.08876183 0.12084914 0.09500947 0.09598006]",-1.0240668810803868,2.119829469065102
